date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:22	39469/39469	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:27%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-myaccount.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-myaccount.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:23	110854/110854	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Feb%202017%2018:15:47%20GMT	http://preview.oklerthemes.com/porto/5.4.0/css/demos/demo-shop-7.css	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/css/demos/demo-shop-7.css	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:29	37009/37009	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:27%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-login.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-login.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:29	3680/3680	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Feb%202017%2018:19:56%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/logo-shop-charcoal.png	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/logo-shop-charcoal.png	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:30	58377/58377	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:27%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-product-details.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-product-details.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:30	45155/45155	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:24%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-cart.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-cart.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:31	47922/47922	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:26%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-checkout.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-checkout.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:31	67500/67500	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:24%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-4col.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-4col.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:31	61274/61274	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:24%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-2col.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-2col.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:32	62775/62775	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:24%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-3col.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-3col.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:32	72298/72298	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:25%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-5col.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-5col.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:33	54943/54943	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:25%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-6col.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-6col.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:33	57920/57920	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:25%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-7col.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-7col.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:34	60305/60305	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:26%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-8col.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-8col.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:34	58015/58015	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:26%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-list.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-list.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:35	67472/67472	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:26%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-right-sidebar.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-right-sidebar.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:36	67802/67802	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:25%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-banner-boxed-image.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-banner-boxed-image.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:37	68230/68230	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:26%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-banner-boxed-slider.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-category-banner-boxed-slider.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
